time_s,fx,fy,fz,tx,ty,tz,x,y,z,phase
0.0,-55.17792130652367,-136.10941327690068,-9.72551916027431,8.87274559881463,-3.195476587363669,0.008517291156926399,0.29083943786971206,0.19653797463140749,0.03800436413269097,F=-2.0N
0.0019999999999527063,-1.6600286776539193,93.22530983033496,96.39103433132058,-4.869506654955677,4.009943405553403,11.998330679321224,0.29083943786971206,0.19653797463140749,0.03800436413269097,F=-2.0N
0.0029999999999290594,-98.28676403142981,84.75162398082607,-21.358700975390562,-2.91195206062923,-6.681565107597933,-12.000475132099062,0.29083943786971206,0.19653797463140749,0.03800436413269097,F=-2.0N
0.0039999999999054126,-72.61992256006388,140.36930724429095,39.72787324230889,-5.647353760017727,-9.006484593356202,-0.005686349990401851,0.29083943786971206,0.19653797463140749,0.03800436413269097,F=-2.0N
0.005000000000109139,46.5127377099603,146.9389938356245,-10.96227879611817,-6.571607496309877,1.2693685717589274,-0.0003561856906663663,0.29083943786971206,0.19653797463140749,0.03800436413269097,F=-2.0N
0.010999999999967258,-119.80269122497981,9.23461960788088,76.7798064189621,-1.6341975950909673,-4.3838360614371386,0.0010300953962172343,0.29083943786971206,0.19653797463140749,0.03800436413269097,F=-2.0N
0.0,177.23388377312529,414.53771609692603,-110.8876547252334,6.46222524670653,-3.786544827018969,0.06850466956025453,0.3078625397342995,0.18598749930516217,0.03727536910617542,F=-5.0N
0.0019999999999527063,162.2014819918627,89.59695598276701,-52.80630988891432,-3.6979017617586973,-3.7253967171682922,12.008371468052573,0.3078625397342995,0.18598749930516217,0.03727536910617542,F=-5.0N
0.0039999999999054126,112.50542947734398,137.30171081113298,-18.5775789465074,-8.789989221681934,3.1021600697375837,11.986074191720558,0.3078625397342995,0.18598749930516217,0.03727536910617542,F=-5.0N
0.004999999999881766,119.87915692438224,99.92023289956319,14.811371966492786,-7.59781631620419,0.8648690450273784,-12.005421536535648,0.3078625397342995,0.18598749930516217,0.03727536910617542,F=-5.0N
0.008000000000038199,93.75054351805218,59.65972434023397,-77.56709811136918,-2.338019744569296,0.2149729669817702,-11.997226652593787,0.3078625397342995,0.18598749930516217,0.03727536910617542,F=-5.0N
0.009999999999990905,17.631520356778054,51.32819195625788,-35.49558508144257,-3.273291813681471,6.285566692273266,-12.001271915709637,0.3078625397342995,0.18598749930516217,0.03727536910617542,F=-5.0N
0.0,113.36835146268616,122.309113985608,21.222237490750835,-6.952886253684155,3.3841674472488394,-0.0025197653656881397,0.3152638530939076,0.1826936450847767,0.03731799284210748,F=-8.0N
0.0010000000002037268,16.559258856722032,62.757597451104296,-2.911244209259344,-3.884589089468231,6.357106893989242,-7.873693060747963,0.3152638530939076,0.1826936450847767,0.03731799284210748,F=-8.0N
0.004000000000132786,-67.95723224260838,122.23231315095484,37.11594487524966,-6.511648769258638,-4.444960958058344,-11.998130361968153,0.3152638530939076,0.1826936450847767,0.03731799284210748,F=-8.0N
0.009000000000014552,66.0404915555384,102.82888534447707,-4.079042412123535,-5.739531734053138,4.45786399421974,-12.004519694792004,0.3152638530939076,0.1826936450847767,0.03731799284210748,F=-8.0N
0.011000000000194632,-0.8000144021981157,173.11091238891416,21.23823959843169,-3.40701912676977,-8.430777500059158,12.014534386597859,0.3152638530939076,0.1826936450847767,0.03731799284210748,F=-8.0N
0.011000000000194632,85.5534442641687,106.97595527014732,1.5689665858322286,-6.497011450831183,3.9912589107961605,-5.582216596906163,0.3152638530939076,0.1826936450847767,0.03731799284210748,F=-8.0N
